Kelas',Contrast red cytoplasm',Contrast green cytoplasm',Contrast blue cytoplasm',Intensity red cytoplasm',Intensity green cytoplasm',Intensity blue cytoplasm',Entropy red cytoplasm',Entropy green cytoplasm',Entropy blue cytoplasm',Smoothness red cytoplasm',Smoothness green cytoplasm',Smoothness blue cytoplasm',Uniform red cytoplasm',Uniform green cytoplasm',Uniform blue cytoplasm',Third moment red cytoplasm',Third moment green cytoplasm',Third moment blue cytoplasm',Area cytoplasm',Mayor axis length cytoplasm',Minor axis length cytoplasm',Ecentricity cytoplasm',Orientation cytoplasm',Equivalent diameter cytoplasm',Solidity cytoplasm',Extent cytoplasm',Perimeter cytoplasm',EulerNumber cytoplasm',Circularity cytoplasm',ConvexArea cytoplasm',Contrast red nukleus',Contrast green nukleus',Contrast blue nukleus',Intensity red nukleus',Intensity green nukleus',Intensity blue nukleus',Entropy red nukleus',Entropy green nukleus',Entropy blue nukleus',Smoothness red nukleus',Smoothness green nukleus',Smoothness blue nukleus',Uniform red nukleus',Uniform green nukleus',Uniform blue nukleus',Third moment red nukleus',Third moment green nukleus',Third moment blue nukleus',Area nukleus',Mayor axis length nukleus',Minor axis length nukleus',Ecentricity nukleus',Orientation nukleus',Equivalent diameter nukleus',Solidity nukleus',Extent nukleus',Perimeter nukleus',EulerNumber nukleus',Circularity nukleus',ConvexArea nukleus'
Data H-Sil (Sudah Dipisah),81,113,89,215.3297872,193.2101064,183.9162234,5.824358324,6.434746948,6.279955233,0.989200634,0.968801684,0.976284148,0,0,0,-1.744544654,-1.112302512,-1.127185976,1389,54.76665132,37.09517441,0.735678007,-3.347255376,42.05389076,0.923537234,0.923537234,150.556,-4,0.770044767,1504,81,109,84,165.041958,123.027972,123.2867133,5.994246841,6.108278355,5.9690046,0.980207033,0.958463132,0.971243599,25469,15543,15797,0.897094116,1.088024798,1.210664549,12,7.64615657,3.856115018,0.863516435,-33.2856536,3.908820095,0.631578947,0.4,16.077,1,0.583419696,19
Data H-Sil (Sudah Dipisah),72,93,92,216.8208042,194.2137238,164.4414336,5.727108277,6.249115158,6.702197146,0.995439157,0.981631758,0.960814386,0,0,0,-1.291234601,-0.45325203,-0.487399317,2259,60.24345487,50.40887549,0.54758092,-88.19014331,53.6306641,0.987325175,0.987325175,183.876,-4,0.839606901,2288,42,46,42,160.0952381,98.04761905,104.8095238,4.297079328,4.106603137,3.784941827,0.992996864,0.991687552,0.995181167,5355,5355,5355,-0.29381804,0.424256793,2.13045387,1,1.154700538,1.154700538,0,0,1.128379167,1,1,0,1,65535,1
Data H-Sil (Sudah Dipisah),65,79,57,204.6554828,190.4558101,181.8256956,5.865475999,6.502662277,6.191684905,0.992848515,0.978422991,0.990476638,0,0,0,-1.602225183,-1.243017742,-1.000142867,2296,61.64451554,52.4854931,0.524481342,-3.617503275,54.06808666,0.939443535,0.939443535,224.434,-2,0.572801898,2444,45,49,34,143.3230769,98.44615385,126.2076923,5.318866253,5.320332626,4.861276349,0.995016223,0.994456879,0.99707881,33030,19450,30382,1.640806571,2.021169028,2.021970747,8,6.110100927,2.081665999,0.940174756,90,3.191538243,0.8,0.666666667,10.288,1,0.949812629,10
Data H-Sil (Sudah Dipisah),67,99,79,202.3626009,178.1158045,177.2990033,6.050570037,6.68359274,6.443491912,0.986970619,0.962923685,0.98138052,0,0,0,-1.191195678,-0.701619881,-0.892551012,1790,60.45703406,52.32248904,0.500996767,85.22611541,47.73990768,0.849549122,0.849549122,176.036,-4,0.725871779,2107,67,99,76,156.2181818,97.30909091,113.7333333,5.775468091,6.162428524,5.889739321,0.987787074,0.976552946,0.985150978,42075,42075,42075,1.666696718,2.054597746,1.766453196,2,2.309401077,1.154700538,0.866025404,0,1.595769122,1,1,1.96,1,6.542258754,2
Data H-Sil (Sudah Dipisah),59,78,75,223.6427203,203.6091954,196.4636015,5.098566811,5.849325616,5.784036467,0.994434207,0.983035108,0.988487769,0,0,0,-2.172311813,-0.899103752,-1.111426515,2065,66.79782502,41.61238717,0.782253524,-89.31715299,51.27611198,0.988984674,0.988984674,179.956,-1,0.801303902,2088,16,16,18,152.6666667,106.3333333,113,3.169925001,3.169925001,2.947702779,0.998303536,0.997997099,0.997817155,2295,2295,2295,-0.054179076,-0.498152053,-1.023558921,1,1.154700538,1.154700538,0,0,1.128379167,1,1,0,1,65535,1
Data H-Sil (Sudah Dipisah),92,116,101,212.7018837,190.4086814,181.6216216,5.45916114,5.972412999,6.087862295,0.988607575,0.966652643,0.976539838,0,0,0,-2.522025126,-1.412903518,-1.241405272,1115,44.2920739,38.917921,0.477437735,-85.28022666,37.67840353,0.913185913,0.913185913,132.916,0,0.793104119,1221,92,115,101,171.2736842,121.8421053,128.9105263,6.464963948,6.448630248,6.409682404,0.966643998,0.940817269,0.956938406,7620,4636,4803,0.069777992,0.516018855,0.64752495,28,9.742043462,4.22626273,0.901001071,75.20662157,5.970821321,0.903225806,0.622222222,20.485,1,0.838486276,31
Data H-Sil (Sudah Dipisah),94,117,80,207.1801471,190.4439338,190.8777574,5.863991737,6.303414881,6.122606795,0.974216574,0.953940009,0.981594738,0,0,0,-1.972027785,-1.502526173,-1.388331791,954,41.43085814,38.85353819,0.347196878,87.63085215,34.85212369,0.876838235,0.876838235,125.076,-1,0.766320196,1088,94,117,80,144.4861111,104.6388889,140.2268519,6.407070788,6.589818364,6.34002479,0.954662403,0.945260485,0.976572126,54415,41027,55050,0.476473396,0.568809234,0.567930199,5,3.306559138,2.12916259,0.765092056,71.56505118,2.523132522,1,0.833333333,4.962,1,2.551915845,5
Data H-Sil (Sudah Dipisah),70,96,99,215.006006,188.042042,171.1651652,5.723828428,6.3842922,6.633915089,0.99245363,0.978767862,0.975895947,0,0,0,-1.909588245,-0.381557456,-0.456079775,1609,51.73478807,43.22723358,0.549407611,-2.900847664,45.26193133,0.966366366,0.966366366,156.436,-1,0.826213911,1665,59,72,73,162.6555556,113.7,93.86666667,5.711134624,5.679702164,5.766472957,0.987516124,0.983898005,0.984637328,22950,22950,22950,0.569302123,0.542769058,0.809033216,1,1.154700538,1.154700538,0,0,1.128379167,1,1,0,1,65535,1
Data H-Sil (Sudah Dipisah),73,98,73,210.952524,179.906851,178.6844952,6.111933069,6.777165625,6.522708337,0.988368044,0.97200635,0.983197864,0,0,0,-1.755723863,-0.485864697,-0.455339864,1529,61.76803315,37.69717972,0.79216852,88.60610798,44.12236693,0.918870192,0.918870192,160.356,-2,0.747217304,1664,63,65,48,156.0076923,104.2153846,118.8615385,6.156757621,6.132762117,5.798468948,0.979215347,0.981770094,0.990913853,33150,30449,33150,0.500564025,0.485552109,0.735318964,5,3.306559138,2.12916259,0.765092056,71.56505118,2.523132522,1,0.833333333,4.962,1,2.551915845,5
Data H-Sil (Sudah Dipisah),85,108,89,213.5357143,195.9126984,184.5749008,5.330562733,6.298626987,6.164168972,0.992126153,0.979736346,0.986122089,0,0,0,-2.644054623,-1.584841031,-1.507382517,1910,55.25048622,48.92643452,0.464565933,-83.82467973,49.3141717,0.947420635,0.947420635,198.92,-2,0.606577547,2016,82,108,83,160.4166667,116.0833333,124.952381,5.856370399,5.96059525,5.689703732,0.977087124,0.958608916,0.975043812,17743,10766,12331,0.370495537,0.967549646,1.135656122,10,5.53149488,2.840639199,0.858066162,21.49270061,3.568248232,0.909090909,0.666666667,10.288,1,1.187265786,11
